darija_ar,translated_eng
"والاكين هاد الليلا, بتاءكيد","But tonight, it's definitely"
حداك,you
أُ 93 هوا عمار فوق شاراف أُديما كاتكون عينك مازيانا,And 93 is a high-pitched eyeball while your eye is still bright
فيكرا مزيانا,good idea
واش كايعجبك لحال ملي كاتجمع لعاإلا ?,do you like the fact that you're together?
نقس سهوييا عافاك,"I'll just say it, please"
و شمش يالّاه بدات كاتلع,And the sun is starting to shine
شنو درتي لبارح بلّيل?,What did you do last night?
أنا ديما كانهز بزاف,I always do a lot of laughing
ولّفت أناني نبكي بزاف,I think I cry a lot
موستاقبال,not welcome
ف أقراب واقت مومكين,in the nearest possible time
مشا ل حمّام,go to the bathroom
تفارقتي أخيران معا ساحبك?,Did you break up with your boyfriend?
والاكين مامتيقّنش أنّا هادشي كافي,But I'm not sure that's enough
تيكي لمدينا عافاك?,"a ticket to our city, please?"
ماكانخدمش ليوم,I didn't work today
"سحاب, من لفوق, بحال شي بحر ديال لقطن.","The sky, from above, looks like a sea of cotton."
أروپّا ماشي بلاد,Europe is not a country
ساحبي تغيّب ليوم,I think I've missed today
ديالي كان مازيان,My mother was a great teacher
وايلي?,Why?
عندو الزهر,he has the fluid
ماكانش عزيز علييّا فلّوّل,I didn't like it at first
بحال بحال,It's like a
ماعنديش لوقت,I don't have time
واش جوليان هنا عافاك?,Is Julian here please?
كيكتاشف واحد لخابا قريبا ليه,He finds a bread near him
راه شدّاتو لخلعا,He's been in a hurry
تبلحيس,the police
بلا حليب أ شف,No milk and no milk
شنو وقع ليك?,What happened to you?
ل أُستاد ماجاش ليوم,I'm at the school today
كانت موخامارا ناديا مانقدرش نساها,It was a great event I can't forget
كانتحمّل لمسأولييّا,I'm taking care of my family
كيعجبوك لباراميج ديال دحك ?,Do you like the comic parodies?
خود وقتك,take your time
ماكاين موشكيل,It's not a problem
أنا مصافر ل ميريكان,I'm a tourist in the US
راك مازال فاياق والاكين كانقتاراح عليك تمشي تنعاس,You're still up but I suggest you go to bed
طنز,Tons
ماكرهتش كو كنت كانقدر ندير پوس لعالام فاش كيكون مرون,I hate how I could post to the world so it's flexible
"لحاود ديال لحوت زوين, مايمكانش لييا نشوف شراجام","the fish are fine, I can't see the shells"
فيناهيا,here
عطيني نشوف,Let me see
كيفاش كاتوجد لقرايا هنا تلامد لموستقبال ?,how do you find readers here in the future?
خديت هادا,I took this
شكون عرف?,Who knows?
مرحبا,Hello
موحال,no way
اللاه معايا,God is with me
ردّ لبال,turn back the alarm
إنا رييادا كاتجيك مدلوما ?,Do you think it's always coming?
كانفيق معا لخمسا دصّباح,I wake up at five in the morning
خاليني عليك,Take me off
كانتيق فيك.,I'm sorry about you.
غادي ياخدو,He's going to take it
كانخلّط مزيان,I mix well
نقادرو نعايتو علا لماجموعا ديال يوڭا ديالنا أُ ڭلي كلوب,We can count on the group of friends and clubs
شهر واهد,month is coming
نقدرو نديرو شي حاجا كاتقدار لواليدا ديالك ديرها,we can do something that makes your parents happy
غادي يكون قريب من دار ساحبو,It will be near the house of friends
هووّا فاقير,he is poor
ماشي مازيان بزاف.,Not very well.
كاتلعب بيا... نتا... نتا...,You play with me... you... you...
واش عارف معامن كاتهضار?,Do you know what the weather is like?
"أُه, ماشي موشكيل, ماشي لغالت ديالك!","Oh, no problem, it's not your fault!"
نوبتك,your turn
أُ نتي?,What about you?
هادشي مزيان?,Is that good?
أنا غادي للمضراصا,I'm going to the gym
كايعجبني بزّاف.,I really like it.
غادي نجيب ليك لماكلا ديالك,I'll get you your food
"والاكين مابغيناش لكليان يعرفو بيلا حنا واحلين ف سانسور, أولّا لا?","But we don't want the clients to know that we're all in the censor, do we?"
كانلعاب تينّيس,I'm playing tennis
كيمّاكان لحال,how are you doing?
عافاك واش عندك لحليب?,"Do you have milk, please?"
والاكين غاليبان تانديرو لموضحيكا...,But perhaps they're following your example...
غانمشي غدّا ندوز عند الطبيب,I'll go to the doctor tomorrow
"لسوء لحاد, روتوبا كادير لقوالب معايا","Unfortunately, the road is very dangerous for me"
"ردّ لبال, شرب أُ قيّس","answer the question, drink and be patient"
تايبان ليك خسّ نشدّ عوطلا?,Do you think I've lost the ball?
واش كايطيح تلج بزّاف ف شتوا هنا?,Does it snow a lot in winter here?
يالاه نمشيو لعشا أُندويو كتار من بعد.,Let's go to dinner and have a good evening later.
ويجهات ناضار,the opposite direction
سهحال من ولاد عاندك?,What kind of child do you have?
واش هاد لبلصا امينا?,Is this the safe seat?
راه عندي پك ديالي ف شكارتي,I have my own sugar in my diet
مانقدرش نعاونك,I can't help you
شفتها,I saw it
كايصبّن,he is amazing
كايقدر يهضر تلاتا د اللوغات,He can speak a third of languages
عندي جتيماع,I have a problem
لبيرّا حاجة داروريا بنسبا لبحّارا,the beer is delicious compared to the sea
بعايد شوييا,I'm a little late
عندو,he has
لبحر خاوي,the sea is empty
غاتلاحض لفارق,you'll notice the difference
فراسي شفتي ليا لكارطا ديالي فاش كنت خارج.,I'm sorry you saw my card when I was out.
نسيت ماصلّيتش,I forgot to pray
كان كايسحابليك أنا ماعارفاش أش كان هوا أُ مارتين كايديرو ملي كايڭوليا بلي كايلاعبو ل باسكت,I'm sorry I don't know what he and Martin do when they say they play basketball
كانعراف ناداريا والاكين لخاوف ماشي ديما عقلاني,"I know it's normal, but fear is not always rational"
إلا مشات ل أُمور مزيان هاد لعام بحال لعام ليفات,I'm not doing as well this year as I did last year
قرّرت مانمشيش ل أروپّا,I decided not to go to Europe
جاب لييّا كولشي,Bring me everything
يالّاه,"Oh, yes"
ماكاتعجبنيش هاد لأغنييا,I don't like this song
سامحنا,Sorry
غادي تكومّانديها فاش نكون كاندووش... أنا بغيت داكشي لي موالفا كانّاخد.,I'll have to order it to be a good one... I want it for the rest of my life.
عطيني نهار واحد,Give me one day
كايمشي لكانيسا نهار لحد,He goes to the cannysa every day
راجلي ماكايفهامش شحال كاتعيّي خدمتي,My husband doesn't understand how much you serve me
ماتبكيش,don't cry
غادي نڭوليك,I'll tell you
"أه را لوقت كايتير, عندك شي بلان ديال سفر","It's a very long time, you have a travel plan"
عندك طوموبيلا غزالا.,You have a big car.
"كاينين بزّاف ديال ل أنسهيطا, أُ الناسّ لي خدّامين هنا درييفين.","There are many opportunities, and people who work here are very busy."
"عان طاريق إعادا تادوير, أُ إدراك لموحيطاط أُ نلقاو ماصادير جديدا ديال طاقا","He has a way of recycling, environmental awareness and finding new sources of energy"
كاندن إقدر إعتيونا شاراب!,I can't wait for a drink!
تلاقيت دوك لي تيقلّبو علا دهب فلوقت لي دوزت تمّا,I found a dog who was chewing on the oil when I was done
التقاشر ماكاينينش هنا,The races are not here
عندي بزاف ديال لماواعيد ت ل أساتيدا لخرين,I have a lot of other appointments to make
دور علا ليمن,turn left
كون هاني,I'm here
