darija,tgt,src
"والاكين تقدار تهضار معا أُستادك ديال پهيسيقو, إلا كانتي مهتام",But you can talk to your physics teacher if you're interested,و لكن يمكن ليك تتكلم مع معلم الفيزياء ديالك، إلا كنت مهتم
ماكانشربش الشراب,He doesn't drink wine,ما كايشربش النبيذ
إلا ماكانش عندك مانيع,If you don't have a gift,إيلا ماعندكش هدية
مازال ماعرفتش,I don't know yet,ماعارفش حتا دلوقتي
"كانفدل مانقبلش, شوكران","I'm not accepting, thank you",ماشي مقبولا، شكراً
نتا ماشي ديما فميزاج خايب,You're not always in a bad mood,ماكنتش دايما فمزاج سيئ
نتا موبرزيط,You are a merchant,انت تاجر
غانمشي نجيبهوم ليك,I'll go get them for you,غادي نجي نجيبهولك
ڭلتها ليك,I told you,قلت ليك
"لايسخر, أنا معاك","it's a joke, I'm with you",هادي مزحة، أنا معاك.
لايسّر.,It's not easy.,ميسالش سهل.
أه شفتهوم. غايكونو كابوس.,"Yes, I see them. They're going to be a nightmare.",نعم، كايشوفوهم. غادي يكونو كابوس.
عندنا خوطّا,we have a plan,عندنا خطة
ف نافس لواقت,halfway through,ف نص الطريق
غطّا وجهو و بكا,cover your face and cry,غطي وجههك و تبكي
هاني جاي,Here he comes,هاهو جاي
عزيز علييّا التاحادّييات,I like the atheists,كَنْبْغِي اللّاهوتيين
ماكاتعجبنيش لموصيقا,I don't like the music,ماعجبنيش الموسيقى
شبعت,I'm young,أنا شاب
علاش?,Why?,علاش؟
لماكينا دصّابون ماخدّاماش,We couldn't make a job,ماكانش نقدر نحصلو على وظيفة
أنا مزيان.,I'm fine.,أنا بخير.
موحالش.,It's not easy.,ميسالش سهل.
"هاداشي زوين, والاكين راك عارف كيفاش كايكون هادشي فلعمر ديالي","It's nice, but you know how it's been at my age",هادا مزيان، ولكن انت عارف كيفاش كانو في عمري
كاندان غاياخود نهار كامل!,It's gonna take a whole day!,غاديكو ياخد اليوم كامل!
مشيت لحاديقات لحاياوانات,I went to the real world,وخرجت ل العالم الحقيقي
راه فيه ضال بزاف فلغابا بناسبا لييا,He's been very busy with my work,كان مشغول بزاف بالعمل ديالي
"والاكين, راك عارف, السكار راه مامزيانش بزاف اللكلاب.","But, you know, the alcohol is not very good for dogs.",و لكن، كايعرف، الكحول ماشي جيد للكلاب.
هووّا تفوّه,He's a cheerful man,هو رجل فرح
تانسمعو عليه بزّاف دابا,You'll hear him a lot now,غاديك تسمعه بزاف دابا
سماح لييا - قبال مانمشي نعس,Sorry - before going to bed,سمح ليا، قبل ما نمشي للنوم
جا معاك,Come with me,تعالي معايا
أُكتوبر,October,أكتوبر
كيفاش كاتبقا موتيڤي ?,how do you stay motivated?,كيفاش كايبقيك متحمس؟
دوّر ليا,turn me,دوريني
كانعيش ف الطاليان,I live in Italy,كا نعيش فايطاليا
راه موحبيت,He is a favorite,هو المفضل
"اللا, شوكران.","No, thank you.",لا، شكرا ليك.
موها أُ فاتيما عندهوم جوج بنات أُ درّي,Mom and Fatima have two daughters and a son,ماما وفاطمة عندهم فنجلان و فول
شحال ت لفلوس عندك?,How much money do you have?,شحال عندك من فلوس؟
دقيقا,minute,دقيقة
الجمعا,Friday,الجمعة
هيا داولا ماكانعرافش عليها بزاف,I mean I don't know her very well,أنا ماعارفهاش بزاف.
كانت لمكتابا خاويا تا جينا,The book was empty and it came,الكتاب كان فاضي و راجعا
كايعجبو يلعب كورا,He loves to play football,كايحب يلعب كرة القدم
كيغاندير باش نوصل تمّا,I'm going to get there,غادي نصل لتما
هادي ساعتاين و أنا كانتسناك,I've been waiting for you for two hours,كانو كا نستنيوك من ساعتين
أه غادي نديرها,Yes I will,نعم، غادي نقدر
نهار علا نهار,day by day,يوم فيو يوم
عطيني فلوسها,Give me her money,عطيني فلوسها
أهامّ حاجا,I'm interested,أنا مهتم
غادي نكون تمّاك فداك لوقت,I'll be there for you then,غنكون هنا ليك
مالك معاه?,What's your plan?,اشنو هي الخطة ديالك؟
عندي ديما شوييا ديال لخوبز ليكايبقا أُعزيز عليا نجي لهنا أُ نتماتاع بلهودوء.,I always have some bread to keep me warm and I'm coming here and enjoying the peace.,كان عندي دائماً الخبز باش يدفئني، و أنا كايجي لهنا و كايستمتع بالهدوء.
كالّ هر,all right,واخا
كاس ديال لحليب سخون,a cup of warm milk,كاس ديال الحليب الدافئ
هادي تقدر تكون تاريخيا,This could be historic,يمكن لداكشي يخلق التاريخ
فين جات لمدراسّا?,Where do you go to school?,فين كايمشي ل المدرسة؟
عندنا خامسا ديال سوايع حتا لعشا ديال ليلا,we have five hours for dinner,عندنا خمس ساعات للعشاء
والاكين ل أُستادا ديالي ديك لوقت كانت كادووّز لوقتا ديالها كامل كاتخييّت فلقيسم أُ ماعمرها شرحات لينا شي حاجا,But my teacher was in the classroom when she spent all her time studying in the classroom and she didn't explain anything to us,و لكن المعلمة كانت فالصف و كانت كاتقضي كل وقتها في الدراسة و ما كانتش بتشرح لنا شي حاجة
ماكايهمّش,It doesn't matter,ماشي مهم
أُ لخاريطا.,And the map.,و الخريطة.
"سماحليا, حنا ماكانقادمو هاد طاباق حتا ل دوهر","Sorry, we're not even eating this dish anymore",سمح ليا، حتا حنا ماغاديش ناكلو هاد الطبق.
كايعجبني نتمشا فهاد ناواحي,I like to walk in the woods,كَنْبْغِي نْمْشِي فالغابة.
أُلا هيا هي شي طاريقا ديالها باش تجي أُتشري لينا شويا تلّحم?,Or is it her way of coming to buy us some meat?,و لا ماشي هادي طريقتها باش تجي تشتري لينا لحم؟
زدت سيتو لكتاب,I added the book,ضيفت الكتاب
فين غاتمشي ف أروپّا?,Where are you going to go in Europe?,فين غادي تروح فاوروبا؟
ماشي دارور ...,Not a house...,ماشي بيت...
أنا غادي فحالي,I'm going to go then,غادي نمشي من بعد
سباح معا تمانيا,Saturday at 8,السبت فالساعة 8
واش لخدما كتيرا عليك?,Is the work too much for you?,واش الشغف كبيير عليك؟
مشا ل متحف,He went to the museum,مشي للمتحف
ماغانخلّيش هادشي إتعاود عاوتاني.,I won't let this happen again.,ماغاديش ندير هاد الشي تكرار.
الله إخلّيك,God bless you,الله يباركك
كانتساءل علاش ماقادوهش بشكال مازيان حتا لدابا,I wonder why they don't have a good shape even in the middle,كايعجبني علاش ماكانش هاد الشكل مزيان حتى فالمنتصف
تلاقينا ف سويسرا,We met in Switzerland,تلقينا فسويسرا
والاكين لبيأ ماجال موتير لإهتيمام أُ موهيم لموستاقبالنا,But the environment is a matter of concern and concern for our future,ولكن البيئة هي مسألة قلق و قلق على مستقبلنا
واش عندك شي ماوعيد?,Do you have any dates?,واش عندك شي موعد؟
عشرين دقيقا ديال لعارد ليغادي شافاوي معا لس سليدس,twenty minutes of walking to the beach with the snow,عشرين دقيقة مشي على الساحل مع الثلج
كايعاجبوني لفكارن بزاف,I like ideas a lot,كَنْبْغِي الْفَكّْرْ
كايخمّم بزّاف,He's very smart,هو ذكي بزاف
شهر,month,الشهر
واش خرجتي لبارح بلّيل?,Did you go out last night?,واش خرجت ليلة البارحة؟
إلا بغيتينا نتمشّاو غدّا,if we want to go for a walk tomorrow,إيلا بغينا نمشيو نتمشيو غدا
"واخا, منخوض ولا ماقلوب?","So, in or out?",إذن، داخل أو خارج؟
كانتّسالك وحدا,I'm asking you alone,كايطلب منك لوحدك
مزيانا.,Good.,مزيان.
جاب نوقطا مزيانا,Get a good time,تمتع بوقتك
موجود,there is,كاين
اللي فات,last night,ليلة الماضية
هاكّا,Here it is,هاهي
دير اللي بغيتي,Do whatever you want,دير اللي تبغيه
"كايصوني حتّا وڭف, أُ ماتانضنّش شي واهد غايجاوبنا.","They even ask me to stop, and I don't think we'll get any answers.",حتا كايطلبو منى نوقف، و ماكانضنش بلي غادي نلقاو شي إجابة.
