Original Moroccan Arabic,Translated English
كون غير قدرت ن حفّزك,I was just able to motivate you.
مال زين ديالي كايبكي,My money is crying
متشرفين,Pleased to meet you.
كون غير قدرت نزين دار مسيان كيما باغي على دوقي,I was able to design a house as beautiful as my own.
بغيت نعرف شحال ديال الوقت باقي ليا باش نقرا,I want to know how much time I have left to read.
مانقدرش نتسنا,I can 't wait.
مابقيتش باغي ن إمبريمي بزّاف ديال لحوايج را لانكر قليل,I don't want to impress too many people with too little clothes.
طيقة في نفس بعدا,A point in the same dimension
سير عاود تقيد,Walk around again
تعطلي بزّاف باش تشّطب ل أرض,You're too slow to fall to the ground
دخل من هاد الباب,Enter through this door.
كولشي غادي نخلصوه,We will pay for everything.
مابقات عند الفلوس قيمة,Contests with cash value
بقيت سخون مع الكلب,I got hot with the dog.
إمكان ليك تدوقو، ولكن كانحذرك، راه خايب,"You can touch it, but I warn you, it's bad."
سمهو ليا خاصني نمشي,"Excuse me, I have to go."
كنقرا لونلي,I'm reading it now.
مابغيتيش تمر علينا وتزورنا,Would you like to come by and visit us?
مورا شي تلاتة ديال السيمانات رجعت لفرنسا على قبل الخدمة,About three weeks later I returned to France on leave.
المعرض الفنّي فيه مايتشاف.,The art gallery is there to see.
مشيت نتقدا الحوايج ديال سفر,I went to collect travel supplies.
نتا عارف كيف كنخدم,I know how to serve.
راني كتسناها باش تولد خلص,I expect her to be born soon.
يالله قاليا طبيب بلي تشافيت من المرض ديالي,My doctor said that I was cured of my illness.
راني كنت فكّرت نجيب معاي لخبز,I was thinking of bringing some bread with me.
والا غور تصوني لوا,Please call me back.
واش جميلة مغربية?,Is Morocco beautiful?
كايخدم مزيان,It works well.
"فاش غانخرجو من طريق, غانمشيو ل سيكتور ديال لحيوانات","Let's get out of the way, let's go to the zoo."
الخدمة ديالنا كيخلصو مزيان,Our service is very good.
اليوم مشيت الإدارة ديال المدرسة برّت ليهم علاش ماجيتش لبارح,Today I went to the school administration and they asked me why I didn't come yesterday.
طال مورا رمضان و نرد هاد الأيام لي فترت فيها,I have been away for Ramadan and I want to return to the days I missed.
كانكره الحوت,I hate fish.
خليني نستعرد لماواهيب ديالي,Let me get my shoes back.
بلا ماتدير فيها واعف,"No matter what you do, I'm sorry."
مابغيتيش ت ستر راسّك إوا تلب الله يخفر ليك,You don't want to cover your head or God will forgive you
ماتخافي من هيتا شي حاجة,Don't be afraid of anything.
شفت كملت خدمتي,I see my work is done.
مكاينش شي عقرب جد ولدك,There is no one to take care of your child
ملك كاتعيار الناس,King of the people
شفتك كاتوكلهم...أشنو داكشي؟,I see you're all dressed up... What is that?
إوا نهر تبغي تهرڭ,A river you want to cross
علاش كاينة مرة بالبيت ديالي؟,Why is there a window in my house?
أنا غادي نريب ليه دار لكلب,I'm going to rent a dog house.
بلّاتي نتأكّد,Let me check.
سمه ليا وصافي,My name is Safi.
كانسمع ليك,I hear you.
ديروني عينيا صباح,I woke up this morning.
علاش مابغيتيش تحضر هاد الڤيلاج,Why don't you come to this village?
راه ماشي نفس الحاجة!,It's not the same thing!
الكوزينة هي لي مافيها مايتخسر,The kitchen is mine without the loss.
هي لي ورتات بباها,She took a picture of her father.
واش عندهم شي دار هنا,Do they have a house around here?
علاش مابغيتيش تسحح أخلاتك,Why don't you wipe your clothes?
يالّاه شفت التاريخ ف ڭوڭل,I saw the date in Guangzhou.
شنو هيا أبعاد ديكرا عاقل عليها؟,What are the dimensions of this one I have in mind?
أنا مقتانعا بلي عائلتنا فاش كيتجمعو كيوليو بحا شي فرقة ديالك مسرح,I'm sure our family will be together soon. Your band is on stage.
ماكانديرش هادشي,I don't like that.
إمتا غشّيت!,You were wrong!
مانضنش غادي نحتاج هادشي كامل,I don't think I'll need all of it.
غير ڭوليا ماتشميكسه,Just look at the makeup.
علاش مابغيتيش دخل ليا,Why don't you come in?
مكتب ليا نمشي,My office is on the way.
واش كاتعيش بعيد على هنا,Do you live far from here?
عقلتي على هادي لي كاتفاني,I thought it would be enough for me.
كان غادي يسالي,I was going to ask.
"صباح, معا تمانية و ناس","Morning, at eight thirty"
الطلٌاجة مازالا مفتوحة,The boat is still open.
غير عارف بلي المرة هاملة تخلعي عليها,I just know that next time you'll be able to get rid of it.
إلا سكنا في مدينة فيها البحر ري بلاش,If I live in a city where the sea is free
راه مجموع عليا بزّاف ديال لكلاب,It's a very large dog population.
مادنيتو ڭاع واش كاين شي فرق,I wonder if there is any difference.
أنا مجوّج,I am married.
تعطل الوقت، خاصني نمشي,"The clock is ticking, I must go."
علاش مابغيتيش تفي العافية,Why don't you want to get well?
ياله جيت,What a surprise!
مجمعين غير على تحريميات,Collected only on prohibitions
كينا شي مدرة هادا دار,Is there a manager here?
و أنا كنقد ساندويش، خديت واحد تا أنا,"I was thinking of a sandwich, so I got one for myself."
جا خدا فلوسّو و مشا عمرنا عاود شفناه,Take the money and we'll never see him again
أنا إنسان أناني فالحب,I am a selfish person in love
عاود شراهلي مافهمتش,I don't understand it yet.
أجي تفي دو,Come and see.
كولهوم كايعبدو نفس الإلاه,They all worship the same god
شريت شارجور زوين,I bought a nice charger.
راه ممتازة هاد نقطة لي جبتي,This is perfect. This is the one I brought.
شحال عايبة هاد الصباقة,How much do you like this color?
كنقرا بعد الأوقات كتوبة,I am reading the time stamp.
خاصني مدل,I need to get dressed.
تخنق مسكين,Poor little strangler
بغيت يخدمو جوج ف سالون,I want two servings in a saloon.
يالله أ دراري يالله دربي هادا خاصنا نمركيو بزّاف,"God, my God, my God, this is so much fun"
كانتسنّا فيك ت قبط داك ليزار لي لحتو ليك,We hope you'll take this laser to yourself.
تعطلي بزّاف باش تمشي تشرح ليه دكشي لي مافاهمش,It takes me a long time to go and explain to him that he doesn't understand.
علاش مابغيتيش تقولبني أنا من دون ناس,Why don't you tell me about myself?
ماندينش غادي نسكن فهاد الكريان,I'm not going to stay in this trailer.
غدا إمكان ليا نسوڭ بيك للخدمة,Tomorrow I can drop you off at work.
